T1 80922.044527,0.025075,80922.044743,80922.044749,80922.069826
T1 80922.135858,0.011004,80922.135917,80922.136026,80922.147031
T0 80922.094262,0.080083,80922.094461,80922.094627,80922.174711
T1 80922.201617,0.073100,80922.201741,80922.201785,80922.274887
T0 80922.212776,0.040368,80922.242331,80922.242401,80922.282770
T0 80922.239286,0.036016,80922.242368,80922.282798,80922.318815
T1 80922.221631,0.049560,80922.242365,80922.274990,80922.324551
T1 80922.333955,0.063168,80922.334577,80922.334663,80922.397832
T0 80922.251624,0.123963,80922.252126,80922.318852,80922.442816
T1 80922.361391,0.046693,80922.375352,80922.397887,80922.444581
T0 80922.365573,0.013912,80922.375355,80922.442854,80922.456767
T0 80922.370142,0.025620,80922.375356,80922.456820,80922.482441
T0 80922.374796,0.005760,80922.375357,80922.482495,80922.488255
T0 80922.378592,0.012311,80922.378609,80922.488330,80922.500643
T1 80922.366128,0.081527,80922.375355,80922.444606,80922.526161
T1 80922.582961,0.017551,80922.604455,80922.604560,80922.622111
T0 80922.563397,0.091352,80922.563527,80922.563643,80922.654996
T1 80922.608655,0.037147,80922.609047,80922.622160,80922.659308
T1 80922.654734,0.073780,80922.655050,80922.659334,80922.733115
T1 80922.664322,0.073465,80922.664384,80922.733196,80922.806662
T0 80922.636206,0.180181,80922.636256,80922.655041,80922.835222
T0 80922.698563,0.021729,80922.705352,80922.835249,80922.856979
T1 80922.684674,0.111064,80922.705344,80922.806721,80922.917786
T0 80922.707641,0.125682,80922.707681,80922.857126,80922.982808
T0 80922.754374,0.004499,80922.793346,80922.982863,80922.987363
T0 80922.774619,0.054417,80922.793349,80922.987386,80923.041804
T0 80922.780443,0.021454,80922.793353,80923.041858,80923.063313
T0 80922.840214,0.001011,80922.840259,80923.063339,80923.064351
T1 80922.752305,0.149118,80922.752354,80922.917842,80923.066961
T0 80922.842145,0.003259,80922.842168,80923.064356,80923.067615
T0 80922.866207,0.095164,80922.899219,80923.067624,80923.162818
T0 80922.929145,0.038800,80922.929230,80923.162875,80923.201676
T1 80922.858757,0.176396,80922.858791,80923.066971,80923.243368
T0 80922.937707,0.071408,80922.969275,80923.201734,80923.273142
T0 80922.969979,0.002004,80922.969996,80923.273199,80923.275204
T1 80922.950496,0.055089,80922.969281,80923.243443,80923.298533
T1 80923.006304,0.063819,80923.006356,80923.298559,80923.362378
T0 80922.990552,0.134291,80922.990594,80923.275226,80923.409518
T1 80923.078627,0.067073,80923.078675,80923.362411,80923.429485
T0 80923.087778,0.021852,80923.087828,80923.409584,80923.431436
T1 80923.115499,0.009075,80923.128259,80923.429548,80923.438623
T1 80923.162872,0.020049,80923.162901,80923.438646,80923.458696
T0 80923.147035,0.106045,80923.147086,80923.431479,80923.537524
T1 80923.210724,0.111921,80923.210769,80923.458721,80923.570643
T0 80923.217890,0.058025,80923.243428,80923.537592,80923.595618
T1 80923.229616,0.044414,80923.243432,80923.570719,80923.615134
T0 80923.314344,0.097835,80923.314364,80923.595674,80923.693510
T1 80923.343371,0.128831,80923.355347,80923.615318,80923.744150
T0 80923.359088,0.084307,80923.359136,80923.693556,80923.777864
T0 80923.404236,0.012156,80923.409571,80923.777918,80923.790075
T1 80923.372938,0.120940,80923.372991,80923.744191,80923.865132
T0 80923.422110,0.126367,80923.429535,80923.790116,80923.916483
T0 80923.507716,0.028278,80923.537578,80923.916531,80923.944809
T0 80923.535471,0.016499,80923.537582,80923.944838,80923.961338
T1 80923.503299,0.106458,80923.503350,80923.865259,80923.971717
T0 80923.561658,0.018369,80923.570706,80923.961365,80923.979735
T1 80923.603394,0.012816,80923.603492,80923.971743,80923.984560
