IMG_REGISTER,58141.645809,58141.646546
IMG_HORIZEDGES,58141.718959,58141.736854
IMG_SHARPEN,58141.769542,58141.788453
IMG_SHARPEN,58141.788534,58141.808832
IMG_REGISTER,58141.821119,58141.821401
IMG_BLUR,58141.934349,58141.946740
IMG_REGISTER,58141.976763,58141.977592
IMG_BLUR,58141.988941,58142.000966
IMG_HORIZEDGES,58142.055624,58142.075995
IMG_HORIZEDGES,58142.076607,58142.098668
IMG_ROT90CLKW,58142.098862,58142.099933
IMG_BLUR,58142.120571,58142.132055
IMG_HORIZEDGES,58142.132231,58142.152091
IMG_SHARPEN,58142.181385,58142.200448
IMG_BLUR,58142.200569,58142.212502
IMG_HORIZEDGES,58142.276508,58142.295274
IMG_ROT90CLKW,58142.301439,58142.302554
IMG_VERTEDGES,58142.337954,58142.356534
IMG_BLUR,58142.356701,58142.367515
IMG_HORIZEDGES,58142.367570,58142.388881
IMG_HORIZEDGES,58142.420118,58142.438446
IMG_REGISTER,58142.446141,58142.446318
IMG_BLUR,58142.481929,58142.493148
IMG_BLUR,58142.493278,58142.505384
IMG_BLUR,58142.572528,58142.584361
IMG_SHARPEN,58142.617400,58142.646115
IMG_VERTEDGES,58142.656443,58142.680771
IMG_BLUR,58142.727267,58142.739885
IMG_HORIZEDGES,58142.739995,58142.761642
IMG_REGISTER,58142.774894,58142.775751
IMG_VERTEDGES,58142.823474,58142.842600
IMG_REGISTER,58142.909467,58142.910348
IMG_SHARPEN,58142.962715,58142.984731
IMG_HORIZEDGES,58142.984897,58143.005518
IMG_SHARPEN,58143.005608,58143.027966
IMG_ROT90CLKW,58143.028094,58143.029404
IMG_HORIZEDGES,58143.087425,58143.106306
IMG_VERTEDGES,58143.166717,58143.186973
IMG_SHARPEN,58143.189688,58143.209031
IMG_HORIZEDGES,58143.280904,58143.300516
IMG_REGISTER,58143.336275,58143.336558
IMG_HORIZEDGES,58143.327291,58143.346041
IMG_VERTEDGES,58143.352723,58143.372622
IMG_SHARPEN,58143.405507,58143.425229
IMG_SHARPEN,58143.425381,58143.446408
IMG_SHARPEN,58143.446637,58143.466293
IMG_SHARPEN,58143.486304,58143.504864
IMG_REGISTER,58143.606784,58143.607479
IMG_VERTEDGES,58143.600579,58143.621313
IMG_BLUR,58143.638855,58143.649539
IMG_SHARPEN,58143.685991,58143.704445
IMG_HORIZEDGES,58144.084511,58144.103337
IMG_SHARPEN,58144.103540,58144.123585
IMG_REGISTER,58144.157377,58144.157602
IMG_ROT90CLKW,58144.254581,58144.255844
IMG_BLUR,58144.260737,58144.272280
IMG_HORIZEDGES,58144.347098,58144.366407
IMG_BLUR,58144.366621,58144.378910
IMG_ROT90CLKW,58144.378954,58144.380522
IMG_HORIZEDGES,58144.433089,58144.452397
IMG_VERTEDGES,58144.452649,58144.470811
IMG_REGISTER,58144.793846,58144.794049
IMG_BLUR,58144.787786,58144.799989
IMG_HORIZEDGES,58144.806996,58144.825973
IMG_REGISTER,58144.840338,58144.840626
IMG_ROT90CLKW,58144.865078,58144.866765
IMG_SHARPEN,58144.867755,58144.887562
IMG_ROT90CLKW,58144.915690,58144.917417
IMG_HORIZEDGES,58144.919835,58144.938277
IMG_HORIZEDGES,58145.016314,58145.037134
IMG_ROT90CLKW,58145.093308,58145.094571
IMG_HORIZEDGES,58145.102293,58145.121257
IMG_HORIZEDGES,58145.124321,58145.142568
IMG_VERTEDGES,58145.142703,58145.161957
IMG_ROT90CLKW,58145.162263,58145.163530
IMG_REGISTER,58145.183023,58145.183231
IMG_BLUR,58145.226004,58145.237351
IMG_VERTEDGES,58145.239418,58145.259453
IMG_BLUR,58145.324170,58145.336331
IMG_BLUR,58145.336448,58145.348874
IMG_BLUR,58145.349196,58145.360681
IMG_ROT90CLKW,58145.360730,58145.361940
IMG_SHARPEN,58145.376463,58145.395743
IMG_BLUR,58145.395799,58145.406744
IMG_VERTEDGES,58145.406829,58145.425547
IMG_BLUR,58145.425655,58145.437354
IMG_HORIZEDGES,58145.437417,58145.458188
IMG_HORIZEDGES,58145.504500,58145.522656
IMG_SHARPEN,58145.554328,58145.573235
IMG_HORIZEDGES,58145.620481,58145.638982
IMG_BLUR,58145.647101,58145.658329
IMG_VERTEDGES,58145.727447,58145.745782
IMG_REGISTER,58145.756387,58145.756588
IMG_ROT90CLKW,58145.834551,58145.835642
IMG_HORIZEDGES,58145.897684,58145.918089
IMG_ROT90CLKW,58145.918221,58145.919636
IMG_VERTEDGES,58145.919673,58145.938483
IMG_VERTEDGES,58145.970330,58145.991510
IMG_BLUR,58145.991941,58146.002732
IMG_SHARPEN,58146.073506,58146.094107
IMG_ROT90CLKW,58146.134092,58146.135842
IMG_REGISTER,58146.147830,58146.148567
IMG_BLUR,58146.191876,58146.202554
IMG_BLUR,58146.202735,58146.217149
IMG_HORIZEDGES,58146.217307,58146.241004
IMG_SHARPEN,58146.241067,58146.264340
IMG_BLUR,58146.265124,58146.280733
IMG_BLUR,58146.290416,58146.305632
IMG_BLUR,58146.362110,58146.377324
IMG_VERTEDGES,58146.377492,58146.400252
IMG_VERTEDGES,58146.429137,58146.451526
IMG_BLUR,58146.582566,58146.595594
IMG_ROT90CLKW,58146.595820,58146.596984
IMG_BLUR,58146.638391,58146.652199
IMG_SHARPEN,58146.652397,58146.673722
IMG_SHARPEN,58146.673775,58146.695642
IMG_HORIZEDGES,58146.695705,58146.717709
IMG_HORIZEDGES,58146.752488,58146.787317
IMG_REGISTER,58146.828505,58146.828916
IMG_VERTEDGES,58146.826376,58146.848170
IMG_ROT90CLKW,58146.881231,58146.882947
IMG_ROT90CLKW,58146.911079,58146.912342
IMG_SHARPEN,58146.941577,58146.975162
IMG_ROT90CLKW,58147.014938,58147.016533
IMG_SHARPEN,58147.046461,58147.074600
IMG_REGISTER,58147.076905,58147.077154
IMG_HORIZEDGES,58147.092203,58147.113291
IMG_VERTEDGES,58147.113449,58147.134755
IMG_SHARPEN,58147.227599,58147.248494
IMG_HORIZEDGES,58147.263460,58147.283761
IMG_SHARPEN,58147.317301,58147.337540
IMG_BLUR,58147.337687,58147.348790
IMG_ROT90CLKW,58147.408980,58147.410695
