R0:54719.618734,0.025075,54719.619136,54719.619601,54719.644677
R1:54719.720693,0.080083,54719.721343,54719.721383,54719.801468
R2:54719.805731,0.011004,54719.805891,54719.805901,54719.816906
R3:54719.940720,0.073100,54719.941319,54719.941328,54720.014429
R4:54719.963498,0.040368,54719.982119,54720.014475,54720.054844
R5:54719.981641,0.049560,54719.982124,54720.054874,54720.104435
R6:54720.017737,0.036016,54720.017799,54720.104475,54720.140492
R7:54720.043056,0.123963,54720.054919,54720.140521,54720.264485
R8:54720.212789,0.063168,54720.212948,54720.264528,54720.327697
R9:54720.269444,0.046693,54720.269923,54720.327755,54720.374449
R10:54720.278073,0.013912,54720.278606,54720.374489,54720.388402
R11:54720.279333,0.081527,54720.279513,54720.388453,54720.469981
R12:54720.288520,0.025620,54720.288664,54720.470041,54720.495661
R13:54720.298856,0.005760,54720.299199,54720.495729,54720.501489
R14:54720.307900,0.012311,54720.308039,54720.501530,54720.513842
R15:54720.688388,0.091352,54720.688471,54720.689716,54720.781069
R16:54720.728463,0.017551,54720.729145,54720.781143,54720.798694
R17:54720.781534,0.037147,54720.781875,54720.798747,54720.835895
R18:54720.838688,0.180181,54720.838761,54720.838841,54721.019023
R19:54720.877738,0.073780,54720.877915,54721.019071,54721.092852
R20:54720.898090,0.073465,54720.918317,54721.092897,54721.166363
R21:54720.940714,0.111064,54720.940828,54721.166414,54721.277479
R22:54720.970286,0.021729,54720.970368,54721.277548,54721.299278
R23:54720.989822,0.125682,54720.989929,54721.299337,54721.425019
R24:54721.082051,0.149118,54721.082137,54721.425076,54721.574196
R25:54721.086372,0.004499,54721.092885,54721.574240,54721.578740
R26:54721.128099,0.054417,54721.133261,54721.578769,54721.633187
R27:54721.140205,0.021454,54721.140318,54721.633237,54721.654692
R28:54721.263669,0.001011,54721.263801,54721.654747,54721.655759
R29:54721.267694,0.003259,54721.277535,54721.655800,54721.659059
R30:54721.301902,0.176396,54721.301987,54721.659089,54721.835486
R31:54721.317285,0.095164,54721.342221,54721.835521,54721.930685
R32:54721.446656,0.038800,54721.446767,54721.930741,54721.969543
R33:54721.464232,0.071408,54721.464313,54721.969603,54722.041012
R34:54721.490624,0.055089,54721.490709,54722.041061,54722.096151
R35:54721.530885,0.002004,54721.531012,54722.096185,54722.098189
R36:54721.574177,0.134291,54721.574352,54722.098255,54722.232547
R37:54721.607373,0.063819,54721.615160,54722.232604,54722.296423
R38:54721.756528,0.067073,54721.756653,54722.296464,54722.363538
R39:54721.775883,0.021852,54721.797273,54722.363591,54722.385443
R40:54721.833614,0.009075,54721.833744,54722.385486,54722.394562
R41:54721.898917,0.106045,54721.898999,54722.394584,54722.500629
R42:54721.931303,0.020049,54721.931378,54722.500671,54722.520721
R43:54722.029790,0.111921,54722.029871,54722.520740,54722.632661
R44:54722.044440,0.058025,54722.044500,54722.632690,54722.690716
R45:54722.068635,0.044414,54722.085264,54722.690750,54722.735165
R46:54722.242954,0.097835,54722.243028,54722.735209,54722.833045
R47:54722.302646,0.128831,54722.302744,54722.833164,54722.961996
R48:54722.335353,0.084307,54722.335454,54722.962045,54723.046353
R49:54722.363900,0.120940,54722.363982,54723.046409,54723.167350
R50:54722.428346,0.012156,54722.428412,54723.167408,54723.179565
R51:54722.465209,0.126367,54722.471436,54723.179601,54723.305969
R52:54722.632101,0.106458,54722.632207,54723.306032,54723.412491
R53:54722.641121,0.028278,54722.641180,54723.412532,54723.440810
R54:54722.698224,0.016499,54722.698299,54723.440866,54723.457366
R55:54722.752138,0.018369,54722.752206,54723.457419,54723.475789
R56:54722.837927,0.012816,54722.838007,54723.475862,54723.488679
R57:54722.871302,0.016164,54722.871391,54723.488725,54723.504890
R58:54722.883321,0.026936,54722.883513,54723.504921,54723.531858
R59:54722.929097,0.118652,54722.929192,54723.531882,54723.650536
R60:54722.939869,0.006738,54722.939963,54723.650599,54723.657338
R61:54722.946299,0.071455,54722.946422,54723.657366,54723.728821
