R0:38593.777086,0.213916,38593.777952,1697497227.998293,38593.994741
R1:38594.218452,0.206972,38594.229186,1697497228.449526,38594.445342
R2:38594.585819,0.193727,38594.585987,1697497228.806576,38594.780280
R3:38594.702977,0.157976,38594.703262,1697497229.000618,38594.938327
R4:38594.882807,0.255103,38594.882949,1697497229.158668,38595.193501
R5:38594.983892,0.190183,38594.985330,1697497229.413840,38595.383779
R6:38595.546975,0.249702,38595.548800,1697497229.769321,38595.798748
R7:38595.589196,0.233030,38595.589405,1697497230.019084,38596.031838
R8:38595.651383,0.246360,38595.669450,1697497230.252207,38596.278291
R9:38595.719793,0.200461,38595.720006,1697497230.498627,38596.478821
R10:38595.745542,0.177460,38595.764072,1697497230.699158,38596.656336
R11:38595.923904,0.153099,38595.924063,1697497230.876676,38596.809522
R12:38596.002082,0.196909,38596.002691,1697497231.029860,38597.006498
R13:38596.153571,0.206927,38596.154133,1697497231.226835,38597.213483
R14:38596.481621,0.195042,38596.481970,1697497231.433844,38597.408608
R15:38596.595462,0.228490,38596.595830,1697497231.628949,38597.637187
R16:38596.692304,0.184085,38596.692748,1697497231.857527,38597.821330
R17:38596.708584,0.152744,38596.709208,1697497232.041666,38597.974135
R18:38596.728792,0.266747,38596.729060,1697497232.194503,38598.240977
R19:38597.220222,0.257668,38597.220437,1697497232.461313,38598.498706
R20:38597.224961,0.209955,38597.225125,1697497232.719042,38598.708721
R21:38597.285687,0.121195,38597.285818,1697497232.929060,38598.829974
R22:38597.708768,0.163089,38597.708873,1697497233.050314,38598.993303
R23:38597.813428,0.254506,38597.813624,1697497233.213671,38599.247904
R24:38598.058440,0.217017,38598.058628,1697497233.468242,38599.464985
R25:38598.186522,0.194106,38598.186715,1697497233.685323,38599.659153
R26:38598.470327,0.172432,38598.470483,1697497233.879490,38599.831640
R27:38598.697579,0.246596,38598.697860,1697497234.051975,38600.078316
R28:38598.738033,0.209859,38598.738139,1697497234.298652,38600.288290
R29:38599.130885,0.171793,38599.131024,1697497234.508627,38600.460143
R30:38599.628468,0.171596,38599.628649,1697497234.680487,38600.631806
R31:38600.325199,0.256845,38600.325389,1697497234.852143,38600.888715
R32:38600.760195,0.187082,38600.760315,1697497235.109053,38601.075861
R33:38600.873366,0.212903,38600.873548,1697497235.296199,38601.288831
R34:38601.411081,0.212241,38601.411246,1697497235.631639,38601.623609
R35:38602.078214,0.157122,38602.078280,1697497236.298617,38602.235463
R36:38602.551472,0.217672,38602.551666,1697497236.772089,38602.769488
R37:38602.766466,0.209535,38602.766664,1697497236.989826,38602.979089
R38:38602.848284,0.124739,38602.848633,1697497237.199426,38603.103876
R39:38602.894986,0.278345,38602.895159,1697497237.324214,38603.382300
R40:38603.014856,0.098290,38603.014982,1697497237.602643,38603.480659
R41:38603.039256,0.208034,38603.039470,1697497237.700997,38603.688758
R42:38603.357160,0.199735,38603.357289,1697497237.909095,38603.888581
R43:38603.613839,0.208757,38603.613964,1697497238.108921,38604.097393
R44:38603.716208,0.248342,38603.716359,1697497238.317731,38604.345800
R45:38603.911566,0.227232,38603.911757,1697497238.566139,38604.573122
R46:38604.204495,0.234233,38604.204709,1697497238.793354,38604.807423
R47:38604.244512,0.079710,38604.244638,1697497239.027649,38604.887198
R48:38604.910883,0.224782,38604.911107,1697497239.131603,38605.136307
R49:38604.954215,0.244878,38604.954377,1697497239.356536,38605.381429
R50:38605.247512,0.230861,38605.247618,1697497239.601657,38605.612347
R51:38605.474341,0.250402,38605.474428,1697497239.832572,38605.862812
R52:38605.506673,0.113573,38605.506816,1697497240.083038,38605.976443
R53:38605.522977,0.201722,38605.523116,1697497240.196668,38606.178421
R54:38605.903835,0.296082,38605.903903,1697497240.398648,38606.474561
R55:38605.915852,0.217029,38605.915917,1697497240.694786,38606.691651
R56:38605.966874,0.282736,38605.967052,1697497240.911877,38606.974450
R57:38607.326816,0.346363,38607.326947,1697497241.547245,38607.673487
R58:38607.343636,0.248080,38607.367672,1697497241.893716,38607.921632
R59:38607.543957,0.208994,38607.544095,1697497242.141859,38608.130701
R60:38607.654551,0.152129,38607.654675,1697497242.350928,38608.282891
R61:38607.753643,0.235090,38607.753765,1697497242.503116,38608.518065
R62:38607.887673,0.187560,38607.887861,1697497242.738297,38608.705731
R63:38608.056017,0.237582,38608.056127,1697497242.925958,38608.943376
R64:38609.135538,0.246968,38609.135745,1697497243.356020,38609.382836
R65:38609.441880,0.226902,38609.442167,1697497243.662393,38609.669179
R66:38609.748289,0.230154,38609.748530,1697497243.968757,38609.978744
R67:38610.207560,0.222415,38610.207681,1697497244.427911,38610.430187
R68:38610.510390,0.230442,38610.510539,1697497244.730769,38610.741083
R69:38610.754896,0.221479,38610.755113,1697497244.975339,38610.976649
R70:38611.148977,0.142526,38611.149158,1697497245.369386,38611.291750
R71:38611.382308,0.182835,38611.382510,1697497245.602738,38611.565436
R72:38611.440313,0.276431,38611.440435,1697497245.785690,38611.841970
R73:38611.529070,0.149490,38611.529245,1697497246.062199,38611.991520
R74:38611.752198,0.197753,38611.752283,1697497246.211744,38612.189334
R75:38611.911184,0.230745,38611.911237,1697497246.409559,38612.420161
R76:38612.086855,0.248002,38612.086939,1697497246.640390,38612.668465
R77:38612.228827,0.242348,38612.228907,1697497246.888705,38612.910884
R78:38612.362251,0.105024,38612.362454,1697497247.131114,38613.016115
R79:38612.489189,0.203074,38612.489251,1697497247.236344,38613.219243
R80:38612.692183,0.140073,38612.692270,1697497247.439470,38613.359374
R81:38612.942423,0.216965,38612.942497,1697497247.579602,38613.576612
R82:38613.023446,0.091665,38613.023529,1697497247.796845,38613.668353
R83:38613.239710,0.171113,38613.239843,1697497247.888586,38613.839553
R84:38613.504459,0.128742,38613.504534,1697497248.059778,38613.968400
R85:38613.599384,0.181312,38613.599458,1697497248.188628,38614.149778
R86:38613.818815,0.278462,38613.819039,1697497248.370004,38614.428311
R87:38614.118882,0.197932,38614.119067,1697497248.648538,38614.626305
R88:38614.375628,0.192820,38614.375678,1697497248.846531,38614.819197
R89:38614.544717,0.236094,38614.544899,1697497249.039425,38615.055345
R90:38615.011346,0.136743,38615.011412,1697497249.275574,38615.192194
R91:38615.037693,0.189176,38615.037751,1697497249.412422,38615.381463
R92:38615.237696,0.162242,38615.237813,1697497249.601689,38615.543762
R93:38615.570066,0.208875,38615.570418,1697497249.790646,38615.782984
R94:38615.617390,0.228173,38615.617479,1697497250.003215,38616.011253
R95:38616.007976,0.212667,38616.008055,1697497250.231478,38616.223996
R96:38616.135607,0.230644,38616.135674,1697497250.444226,38616.454708
R97:38616.457424,0.210343,38616.457566,1697497250.677795,38616.667976
R98:38616.714847,0.213477,38616.715085,1697497250.935405,38616.928727
R99:38617.351826,0.167526,38617.351999,1697497251.572318,38617.519688
R100:38617.402536,0.218808,38617.402803,1697497251.739913,38617.738562
R101:38617.481198,0.147559,38617.481337,1697497251.958789,38617.886207
R102:38617.941656,0.252886,38617.941862,1697497252.162156,38618.194878
R103:38617.981327,0.235967,38617.982125,1697497252.415103,38618.430906
R104:38618.132165,0.233301,38618.132353,1697497252.651132,38618.664269
R105:38618.284707,0.225615,38618.285158,1697497252.884495,38618.889945
R106:38618.541018,0.231163,38618.541167,1697497253.110171,38619.121207
R107:38618.746572,0.216338,38618.746762,1697497253.341432,38619.337613
